w_geocode,h_geocode,count
39049007941,39049007550,5
39049007199,39049000310,7
39049007722,39049000420,3
39041011540,39049006923,1
39049002730,39049000910,2
39049007427,39049009326,3
39049004700,39049005500,1
39049004620,39049006394,1
39049006000,39049008500,1
39049010300,39159050601,3
39049007044,39049010602,1
39049010300,39049007710,3
39049008330,39049000330,1
39049008380,39049006944,2
39049000110,39049010000,1
39049007120,39049000210,3
39049001110,39049007931,1
39049007710,39049000120,2
39049006923,39049006931,16
39049007710,39049006950,3
39049002600,39049007534,2
39041011421,39049000720,1
39049001000,39097041100,1
39049008900,39049005200,1
39049001200,39049009312,2
39049005100,39049008340,11
39049009520,39049007931,1
39049002600,39049007511,4
39049008210,39049007205,10
39049006000,39049009390,3
39049001121,39049000810,42
39049006321,39049006386,6
39049008241,39049000810,1
39049006430,39049007533,4
39049006352,39049009390,1
39049009900,39049009334,21
39049009900,39049000410,11
39049006821,39049000910,5
39049007511,39049000910,5
39049006932,39049006396,4
39049008720,39049000120,5
39049006321,39049009752,3
39049009350,39045032701,3
39049005610,39049009326,3
39049006321,39049007820,1
39049007047,39049007710,6
39097040400,39049001400,1
39049001000,39049006000,1
39049006330,39049007120,8
39049009420,39049004810,1
39049005820,39049009230,1
39049007394,39049007394,24
39049001121,39049007394,75
39041011421,39049008825,4
39049009000,39049007120,3
39049006391,39049007722,2
39049002200,39049006932,1
39049006821,39049009410,1
39049007511,39049000730,5
39049005610,39097041100,1
39049007922,39097040102,33
39049008822,39041011561,11
39049002510,39097040500,1
39041011540,39159050601,2
39049007710,39049000820,11
39049002520,39049007120,2
39049009590,39049009381,39
39049008230,39049006722,1
39049006921,39049006810,5
39049001700,39049001901,9
39049008110,39049007550,1
39049008311,39049005100,2
39049007931,39049009520,7
39049008720,39049009900,10
39049007205,39049008322,4
39049008812,39097040400,2
39049001902,39049004200,1
39049004200,39049000120,11
39049007047,39049000720,3
39041011520,39049008164,5
39049006386,39049007048,45
39041012400,39097040500,13
39049006330,39049001902,2
39045032701,39049001901,4
39049001400,39049000220,7
39049008812,39049008120,2
39049008811,39049008242,5
39049006921,39049006330,3
39097040400,39049008210,16
39049001902,39159050601,4
39049006351,39049007044,1
39049008400,39049007922,25
39041011561,39049005500,5
39049009230,39049008330,2
39049001122,39049002760,9
39049008350,39041011520,1
39049009900,39049000720,15
39049009590,39049007811,13
39049000220,39049007820,3
39049001901,39049005700,12
39049000410,39049002900,1
39049006821,39049009390,3
39041012400,39041011423,141
39049005820,39097040500,2
39049008230,39049006944,5
39049006351,39041011421,3
39049007710,39049007730,3
39049007394,39049009752,1
39049007424,39049000420,1
39049006924,39049008242,1
39049008380,39049008330,4
39049007043,39049006394,19
39049009311,39049007114,2
39049002600,39049007114,10
39049009520,39049000310,2
39049005420,39049007113,1
39049007114,39049009495,16
39049002800,39049009311,1
39049006944,39049004700,2
39049007114,39049005410,5
39049006923,39049006950,1
39049007047,39049002770,2
39041011421,39049008330,1
39049002200,39049006822,3
39049007113,39049000720,5
39097040400,39049007922,13
39049007721,39049008812,3
39049009250,39049009361,11
39049001122,39049007820,9
39049006395,39049009361,2
39049008330,39049000120,1
39049000420,39049008311,2
39049004500,39049006387,3
39049007534,39049001810,1
39049007511,39049007427,1
39049008730,39097040101,1
39041011520,39049000330,7
39049007041,39041011421,14
39049009520,39049007047,5
39041011561,39049002760,7
39049002600,39097040400,1
39049000110,39049006943,6
39049008350,39049004900,10
39049006932,39049007922,1
39049000110,39049006395,2
39049000410,39049006386,1
39049006386,39049008210,10
39049008380,39049009340,1
39049007114,39049008330,8
39049001200,39049007112,3
39049006430,39049009495,4
39049005100,39049002760,2
39049007531,39049009000,1
39049007830,39049006351,7
39041011421,39049007550,1
39049006000,39049005410,1
39049005610,39049009495,1
39049008730,39049009900,4
39049009334,39049009590,1
39049009410,39045033000,6
39049009520,39049009220,2
39049004500,39049008813,8
39049002770,39049006600,2
39049007427,39049008164,5
39049001122,39049002800,3
39049007115,39049000600,2
39049000220,39045033000,1
39049009000,39049008360,5
39049001901,39049006921,9
39049006921,39049008825,6
39049007520,39049003600,2
39049009350,39097040102,1
39041011421,39049003200,6
39049009325,39041011520,1
39049009220,39049001600,1
39049007511,39049002520,1
39049006384,39049002760,2
39049009321,39049001121,1
39049009321,39049008120,1
39049007424,39049002770,3
39049007830,39049003800,1
